"atom_index","1_cspec","1_ctype","1_hspec","1_multi","1_coupling","2_cspec","2_ctype","2_hspec","2_multi","2_coupling"
"2","102.5","CH2","6.21","d","0.9","103.1","CH2","6.3","d","0.9"
"","","","6.35","d","0.9","","","6.42","d","0.9"
"3a","153.9","C","","","","153.4","C","","",""
"4","105.4","CH","7.59","s","","106.4","CH","7.65","s",""
"4a","118.6","C","","","","119.2","C","","",""
"5","163.4","C","","","","163.3","C","","",""
"7a","152.3","C","","","","152.0","C","","",""
"8","39.0","CH","5.48","s","","38.7","CH","5.47","s",""
"8a","121.0","C","","","","111.9","C","","",""
"9","150.5","C","","","","157.7","C","","",""
"10","113.2","CH","7.03","d","9.2","99.8","CH","6.59","d","2.3"
"11","113.1","CH","7.02","d","9.2","161.4","C","","",""
"12","151.5","C","","","","104.5","CH","7.54","d","2.3"
"12a","118.0","C","","","","128.9","C","","",""
"12b","111.7","C","","","","114.9","C","","",""
"12c","150.6","C","","","","149.8","C","","",""
"12d","119.7","C","","","","118.2","C","","",""
"1′","34.7","CH2","3.09","d","16.9","34.3","CH2","3.08","d","16.9"
"","","","3.48","d","16.9","","","3.59","d","16.9"
"2′","170.4","C","","","","170.6","C","","",""
"NH","","","5.69","br s","","","","5.55","br s",""
"","","","6.96","br s","","","","6.95","br s",""
"OMe-9","56.6","CH3","3.95","s","","56.2","CH3","3.97","s",""
"OMe-11","","","","","","55.6","CH3","3.89","s",""
"OMe-12","56.3","CH3","3.89","s","","","","","",""
